date,hair_loss,stay_up_late,pressure_level,coffee_consumed,brain_working_duration,stress_level,shampoo_brand,swimming,hair_washing,hair_grease,libido
2021-11-29,Many,0,High,2,6,Very High,Hair & Shoulder,No,Y,4.0,5
2021-11-30,Many,8,Very High,10,18,Very High,Hair & Shoulder,No,N,5.0,0
2021-12-01,Many,6,Very High,9,16,Very High,Hair & Shoulder,No,Y,5.0,0
2021-12-02,Few,1,Low,0,0,Low,Hair & Shoulder,No,Y,3.0,1
2021-12-03,Few,0,Low,0,0,Low,Hair & Shoulder,No,N,2.0,1
2021-12-04,Few,2,Low,0,1,Low,Hair & Shoulder,Yes,Y,2.0,2
2021-12-05,Few,2,Low,0,1,Low,Hair & Shoulder,No,N,1.0,3
2021-12-06,Few,2,Low,0,2,Low,Hair & Shoulder,No,Y,1.0,2
2021-12-07,Medium,3,Low,1,2,Low,Hair & Shoulder,Yes,Y,1.0,3
2021-12-08,Few,2,Low,0,1,Low,Hair & Shoulder,Yes,Y,3.0,3
2021-12-09,Few,1,Low,0,3,Low,Hair & Shoulder,No,N,1.0,3
2021-12-10,Few,1,Low,0,2,Low,Hair & Shoulder,No,N,2.0,4
2021-12-11,Medium,1,Low,1,3,Low,Hair & Shoulder,Yes,Y,2.0,5
2021-12-12,Medium,0,Low,1,2,Low,Hair & Shoulder,No,N,2.0,5
2021-12-13,Medium,2,Low,1,0,Low,Hair & Shoulder,No,N,2.0,5
2021-12-14,Medium,0,Low,1,2,Low,Hair & Shoulder,Yes,Y,1.0,5
2021-12-15,Medium,0,Low,1,3,Low,Hair & Shoulder,Yes,Y,2.0,5
2021-12-16,Medium,3,Low,1,2,Low,Hair & Shoulder,No,N,2.0,4
2021-12-17,Medium,3,Low,1,0,Low,Hair & Shoulder,No,Y,3.0,4
2021-12-18,Few,1,Low,0,1,Low,Hair & Shoulder,Yes,Y,3.0,1
2021-12-19,Few,2,Low,0,3,Low,Hair & Shoulder,No,N,2.0,1
2021-12-20,Few,1,Low,0,2,Low,Hair & Shoulder,No,N,1.0,1
2021-12-21,Few,0,Low,0,0,Low,Hair & Shoulder,Yes,Y,2.0,2
2021-12-22,Few,2,Low,0,1,Low,Hair & Shoulder,Yes,Y,2.0,2
2021-12-23,Few,1,Low,0,0,Low,Hair & Shoulder,No,N,1.0,3
2021-12-24,Medium,3,Low,1,3,Low,Hair & Shoulder,No,N,2.0,4
2021-12-25,Few,0,Low,0,1,Low,Hair & Shoulder,Yes,Y,3.0,2
2021-12-26,Few,0,Low,0,0,Low,Hair & Shoulder,No,N,2.0,2
2021-12-27,Medium,3,Low,1,1,Low,Hair & Shoulder,No,Y,2.0,3
2021-12-28,Medium,1,Low,1,1,Low,Hair & Shoulder,Yes,Y,3.0,5
2021-12-29,Medium,1,Low,1,1,Low,Hair & Shoulder,Yes,Y,2.0,5
2021-12-30,Medium,0,Low,1,0,Low,Hair & Shoulder,No,N,2.0,5
2021-12-31,Medium,2,Low,1,2,Low,Hair & Shoulder,No,N,2.0,5
2022-01-01,Few,2,Low,0,2,Low,Hair & Shoulder,Yes,Y,1.0,1
2022-01-02,Few,2,Low,0,0,Low,Hair & Shoulder,No,Y,3.0,1
2022-01-03,Few,0,Low,0,1,Low,Hair & Shoulder,No,N,1.0,1
2022-01-04,Few,0,Low,0,0,Low,Hair & Shoulder,Yes,Y,2.0,2
2022-01-05,Few,2,Low,0,2,Low,Hair & Shoulder,No,N,2.0,3
2022-01-06,Medium,3,Low,1,1,Low,Hair & Shoulder,No,Y,1.0,2
2022-01-07,Medium,3,Low,1,2,Low,Hair & Shoulder,Yes,Y,3.0,3
2022-01-08,Few,0,Low,0,2,Low,Hair & Shoulder,Yes,Y,3.0,3
2022-01-09,Few,1,Low,0,1,Low,Hair & Shoulder,No,N,2.0,3
2022-01-10,Medium,3,Low,1,0,Low,Hair & Shoulder,No,N,2.0,4
2022-01-11,Medium,3,Low,1,1,Low,Hair & Shoulder,Yes,Y,3.0,5
2022-01-12,Medium,0,Low,1,3,Low,Hair & Shoulder,No,N,3.0,5
2022-01-13,Medium,2,Low,1,0,Low,Hair & Shoulder,No,N,2.0,5
2022-01-14,Medium,1,Low,1,3,Low,Hair & Shoulder,Yes,Y,1.0,5
2022-01-15,Medium,2,Low,1,2,Low,Hair & Shoulder,Yes,Y,2.0,5
2022-01-16,Few,0,Low,0,1,Low,Hair & Shoulder,No,N,1.0,4
2022-01-17,Few,0,Low,0,1,Low,Hair & Shoulder,No,Y,2.0,4
2022-01-18,Few,2,Low,0,0,Low,Hair & Shoulder,Yes,Y,2.0,1
2022-01-19,Few,1,Low,0,3,Low,Hair & Shoulder,No,N,1.0,1
2022-01-20,Few,0,Low,0,2,Low,Hair & Shoulder,No,N,2.0,1
2022-01-21,Few,0,Low,0,2,Low,Hair & Shoulder,Yes,Y,2.0,2
2022-01-22,Few,1,Low,0,2,Low,Hair & Shoulder,Yes,Y,2.0,2
2022-01-23,Few,1,Low,0,3,Low,Hair & Shoulder,No,N,2.0,3
2022-01-24,Few,2,Low,0,1,Low,Hair & Shoulder,No,N,2.0,4
2022-01-25,Few,1,Low,0,0,Low,Hair & Shoulder,Yes,Y,1.0,2
2022-01-26,Few,1,Low,0,2,Low,Hair & Shoulder,No,N,2.0,2
2022-01-27,Medium,3,Low,1,0,Low,Hair & Shoulder,No,Y,2.0,3
2022-01-28,Medium,2,Low,1,2,Low,Hair & Shoulder,Yes,Y,3.0,5
2022-01-29,Medium,1,Low,1,0,Low,Hair & Shoulder,Yes,Y,1.0,5
2022-01-30,Medium,2,Low,1,2,Low,Hair & Shoulder,No,N,2.0,5
2022-01-31,Medium,1,Low,1,2,Low,Hair & Shoulder,No,N,1.0,5
2022-02-01,Few,1,Low,0,3,Low,Hair & Shoulder,Yes,Y,2.0,1
2022-02-02,Medium,1,Low,1,1,Low,Hair & Shoulder,No,N,2.0,5
2022-02-03,Medium,0,Low,1,1,Low,Hair & Shoulder,No,N,2.0,5
2022-02-04,Few,1,Low,0,2,Low,Hair & Shoulder,Yes,Y,2.0,1
